ID,Source,Élément,Preuve,Confiance,Sévérité,Impact,Recommandation,Référence OWASP,Statut
FIND-001,Yaazhini,Application Debuggable,AndroidManifest.xml:android:debuggable="true",Forte,High,Permet l'attachement d'un débogueur et la fuite/exécution de code arbitraire,Désactiver le mode débogage dans la version release (android:debuggable="false"),MASVS-CODE-2,Confirmé
FIND-002,Yaazhini,Sauvegarde de l'application activée,AndroidManifest.xml:android:allowBackup="true",Forte,Medium,Extraction possible de toutes les données privées de l'application via adb backup,Désactiver les sauvegardes en réglant android:allowBackup à "false",MASVS-STORAGE-4,Confirmé
FIND-003,Yaazhini,Permission système privilégiée demandée,AndroidManifest.xml:android.permission.DUMP,Forte,Medium,Demande inutile d'une permission système privilégiée réservée à la plateforme,Supprimer la permission android.permission.DUMP des permissions requises,MASVS-PLATFORM-1,Confirmé
FIND-004,Yaazhini,Exposition de secrets dans la bibliothèque native,libnative-lib.so:string "Hello from C++ via JNI !",Forte,Medium,Clés API ou secrets hardcodés récupérables par reverse engineering,Utiliser un stockage sécurisé ou dériver les clés au lieu de les stocker en clair,MASVS-STORAGE-1,Confirmé
FIND-005,Yaazhini,Absence d'obfuscation de la bibliothèque native,libnative-lib.so:JNI symbols in plaintext,Forte,Low,Facilite la décompilation et l'analyse de la logique interne du code natif,Appliquer l'obfuscation de symboles et stripper la bibliothèque native (strip),MASVS-RESILIENCE-1,Confirmé
FIND-006,Yaazhini,Absence de détection de Root (Anti-Root),classes3.dex / libnative-lib.so,Moyenne,Low,L'application s'exécute sur des appareils rootés sans avertir l'utilisateur,Implémenter un mécanisme de détection de Root (ex: RootBeer ou vérification native),MASVS-RESILIENCE-3,Confirmé
FIND-007,Yaazhini,Absence de protection anti-tampering (Intégrité),classes3.dex,Moyenne,Low,Permet de reconditionner l'application modifiée sans aucun contrôle d'intégrité,Implémenter des vérifications de signature d'application au runtime,MASVS-RESILIENCE-4,Confirmé
FIND-008,BeVigil,Exposition d'URL de chaîne d'outils,libnative-lib.so:https://android.googlesource.com/toolchain/llvm-project,Moyenne,Info,Fuite d'informations sur l'environnement de compilation NDK,Cette URL est une métadonnée bénigne du compilateur Clang de Google NDK,MASVS-CODE-4,Confirmé
FIND-009,Yaazhini,Composant exported sans permission,AndroidManifest.xml:com.example.jnidemo.MainActivity,Forte,Low,Composant principal accessible directement par d'autres applications sans restriction,Ce composant est le LAUNCHER de l'application et doit rester exporté,MASVS-PLATFORM-2,Confirmé
FIND-010,Yaazhini,Absence de détection d'émulateur,classes3.dex,Moyenne,Low,L'application s'exécute sur des émulateurs facilitant le reverse engineering dynamique,Ajouter des contrôles pour détecter l'exécution sur un émulateur et restreindre les données,MASVS-RESILIENCE-3,Confirmé
